,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
0,0.0,0.0,0.42,0.351,0.114,0.645,0.621,0.002
1,0.0,0.0,0.132,0.823,0.131,0.659,0.433,0.001
2,0.0,0.0,0.059,0.649,0.333,0.346,0.635,0.0
3,0.0,0.0,0.247,0.281,0.089,0.752,0.501,0.001
4,0.0,0.0,0.331,0.644,0.13,0.644,0.674,0.001
5,0.0,0.0,0.627,0.606,0.185,0.646,0.552,0.003
6,0.0,0.0,0.305,0.866,0.178,0.749,0.228,0.001
7,0.0,0.0,0.246,0.183,0.374,0.646,0.255,0.002
8,0.0,0.0,0.387,0.37,0.18,0.663,0.587,0.0
9,0.0,0.0,0.417,0.385,0.307,0.855,0.629,0.001
