year,num_words,num_sents,num_hu19_words,num_hu19_sents,prop_hu19_words,prop_hu19_sents
1810,22816,1101954,3028,819825,0.1327,0.744
1820,61360,6450999,3175,4992853,0.0517,0.774
1830,88402,12669070,3213,9816247,0.0363,0.7748
1840,91941,14847638,3228,11527200,0.0351,0.7764
1850,90666,15230395,3245,11875940,0.0358,0.7798
1860,103612,15673051,3246,12140094,0.0313,0.7746
1870,96142,17209955,3250,13427733,0.0338,0.7802
1880,101581,18633625,3255,14517560,0.032,0.7791
1890,106886,18848668,3263,14724183,0.0305,0.7812
1900,123214,20352160,3268,15875672,0.0265,0.78
1910,110565,20992703,3265,16426930,0.0295,0.7825
1920,136176,23505946,3285,18155754,0.0241,0.7724
1930,171761,22620340,3263,17436884,0.019,0.7708
1940,167681,22427823,3268,17251070,0.0195,0.7692
1950,175116,22588764,3268,17268890,0.0187,0.7645
1960,170732,22039932,3264,16819028,0.0191,0.7631
1970,181729,21832684,3261,16602919,0.0179,0.7605
1980,180794,23068767,3260,17371036,0.018,0.753
1990,166589,25523437,3253,19255776,0.0195,0.7544
2000,169627,26828924,3259,20091277,0.0192,0.7489
